studywords,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tiger ,,0,0,0,1,,,,,15.664877899980638,15.664877899980638,1.0037037037037038,5.962467800010927,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
house ,,0,1,1,9,,,,,21.596372799947858,21.596372799947858,1.0037037037037038,2.506315500009805,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
bell ,,0,2,2,6,,,,,24.125391499954276,24.125391499954276,1.0037037037037038,1.2772798999794759,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
book ,,0,3,3,2,,,,,25.428438899980392,25.428438899980392,1.0037037037037038,1.1762376999831758,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
piano ,,0,4,4,4,,,,,26.63263199996436,26.63263199996436,1.0037037037037038,1.0411384000326507,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
hello ,,0,5,5,5,,,,,27.700926499965135,27.700926499965135,1.0037037037037038,1.0362644999986514,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
cushion,,0,6,6,3,,,,,28.75994289998198,28.75994289998198,1.0037037037037038,1.4443935999879614,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
nail ,,0,7,7,7,,,,,30.22556569997687,30.22556569997687,1.0037037037037038,1.1951377000077628,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
plate ,,0,8,8,8,,,,,31.44237389997579,31.44237389997579,1.0037037037037038,0.962429900013376,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
vase ,,0,9,9,0,,,,,32.42780839995248,32.42780839995248,1.0037037037037038,1.2268330000224523,,,,,,,,,,,,,,,,,1b,001,2023-10-03_16h06.50.572,wordfragmentation,2023.1.3,59.957034803717306,
