studywords,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
hello ,,0,0,0,5,,,,,15.111490900046192,15.111490900046192,1,1.6258052000193857,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
bell ,,0,1,1,6,,,,,16.740995100000873,16.740995100000873,1,0.757801300031133,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
vase ,,0,2,2,0,,,,,17.523160100041423,17.523160100041423,1,0.6095489999861456,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
cushion,,0,3,3,3,,,,,18.154159700032324,18.154159700032324,1.0037037037037038,0.6451754000154324,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
tiger ,,0,4,4,1,,,,,18.824145600025076,18.824145600025076,1.0037037037037038,0.6441647000028752,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
nail ,,0,5,5,7,,,,,19.486636899993755,19.486636899993755,1.0037037037037038,0.6791301000048406,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
book ,,0,6,6,2,,,,,20.18647300003795,20.18647300003795,1.0074074074074073,0.6292293999576941,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
house ,,0,7,7,9,,,,,20.836622500035446,20.836622500035446,1.0185185185185186,0.6624582000076771,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
plate ,,0,8,8,8,,,,,21.525149399996735,21.525149399996735,1.0296296296296297,0.642089799977839,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
piano ,,0,9,9,4,,,,,22.187263300002087,22.187263300002087,1.0444444444444445,0.5958000000100583,,,,,,,,,,,,,2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
,p_a_t_,,,,,0,0,0,8,,,,,22.808505000022706,22.808505000022706,22.808505000022706,0.00919909996446222,plate,[-0.1259259259259259],[-0.31574074074074077],[1],[0],[0],[4.589095899951644],['text_3'],2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
,_i_n_,,,,,0,1,1,4,,,,,27.404976700025145,27.404976700025145,27.404976700025145,0.004220100003294647,finish,"[-0.11018518518518519, -0.10277777777777777]","[-0.3509259259259259, -0.30185185185185187]","[1, 1]","[0, 0]","[0, 0]","[7.545068900042679, 8.095261300040875]",['text_3'],2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
,m_a_,,,,,0,2,2,12,,,,,35.512680100044236,35.512680100044236,35.512680100044236,0.004848999960813671,mean,[-0.044444444444444446],[-0.3416666666666667],[1],[0],[0],[9.76246480003465],[],2,001,2023-10-04_11h10.36.137,wordfragmentation,2023.1.3,59.95365583408808,
