studywords,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate
hello ,,0,0,0,5,,,,,11.971037,11.971037,1.022222222,1.4678018,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
nail ,,0,1,1,7,,,,,13.4529728,13.4529728,1.022222222,0.3761072,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
house ,,0,2,2,9,,,,,13.8531013,13.8531013,1.022222222,0.3434694,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
cushion,,0,3,3,3,,,,,14.2185081,14.2185081,1.022222222,0.3772681,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
tiger ,,0,4,4,1,,,,,14.619002,14.619002,1.022222222,0.3433407,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
vase ,,0,5,5,0,,,,,14.985231,14.985231,1.022222222,0.2937765,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
bell ,,0,6,6,6,,,,,15.3007058,15.3007058,1.022222222,0.3620708,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
piano ,,0,7,7,4,,,,,15.6878008,15.6878008,1.022222222,0.3248946,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
plate ,,0,8,8,8,,,,,16.0359699,16.0359699,1.022222222,0.3603588,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
book ,,0,9,9,2,,,,,16.4184251,16.4184251,1.022222222,0.3116491,,,,,,,,,,,,,,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,f_t_,,,,,0,0,0,10,,,,,16.7545312,16.7545312,16.7545312,0.0109423,fate,"[-0.49444444444444446, -0.030555555555555555]","[-0.29074074074074074, -0.32407407407407407]","[1, 1]","[0, 0]","[0, 0]","[0.23652680002851412, 3.3706138000125065]",['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,b_l_,,,,,0,1,1,6,,,,,20.132237,20.132237,20.132237,0.0034866,bell,[-0.030555555555555555],[-0.32407407407407407],[1],[0],[0],[1.8957220999873243],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,_l_e_,,,,,0,2,2,11,,,,,22.0329571,22.0329571,22.0329571,0.0037467,,[],[],[],[],[],[],[],32.035485,32.035485,32.035485,9.9991257,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,s_m_,,,,,0,3,3,13,,,,,32.035485,32.035485,32.035485,0.0042862,same,[-0.030555555555555555],[-0.32407407407407407],[1],[0],[0],[2.4128363000345416],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,_o_s_,,,,,0,4,4,9,,,,,34.4531877,34.4531877,34.4531877,0.0041024,mous,[],[],[],[],[],[],[],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,m_a_,,,,,0,5,5,12,,,,,44.4575191,44.4575191,44.4575191,0.006051,meat,[-0.030555555555555555],[-0.32407407407407407],[1],[0],[0],[5.063821999996435],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,f_o_e_,,,,,0,6,6,19,,,,,49.5288158,49.5288158,49.5288158,0.0049371,flower,[-0.030555555555555555],[-0.32407407407407407],[1],[0],[0],[3.3769935999880545],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,t_g_r,,,,,0,7,7,1,,,,,52.9128955,52.9128955,52.9128955,0.0048139,tiger,[-0.024074074074074074],[-0.3],[1],[0],[0],[3.2608880999614485],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
